Material,Material_desc,Productos_Por_Empaque,BrandPresRet,ProdKey,Brand,Presentation,MLSize,Returnability,Pack,Size,Flavor,Container,Ncb,ProductType,ProductCategory,SegAg,SegDet,GlobalCategory,GlobalSubcategory,BrandGrouper,GlobalFlavor
14289,T CH TWIST LIMON 600 ML NR PET 6,6,TOPO CHICO TWIST 600 ML NO RETORNABLE,AGUA MINERAL CON SABOR,TOPO CHICO TWIST,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,LIMON,PLASTICO,0,AGUA MINERAL,AGUA MINERAL CON SABOR,AGUA MINERAL CON SABOR,AGUA MINERAL CON SABOR,REFRESCOS,MINERAL SABORIZADA,TOPO CHICO,LIMÓN
14324,COCA-COLA 2.50 L RT PET 8 ETIQ,8,COCA-COLA 2.50 L RETORNABLE,COLAS REGULAR FAMILIAR RETORNABLE,COCA-COLA,2.5 LTS. RET PET,2500,RETORNABLE,2.5 LTS.,FAMILIAR,COLA,PLASTICO,0,COLAS REGULAR,REFRESCOS,COLAS,COLAS REGULAR,REFRESCOS,COLAS NEGRAS,COCA-COLA,COLA
14420,SIDRAL MUN MZA-DZO 235 ML NR LAT 12,12,SIDRAL MUNDET 235 ML NO RETORNABLE,SABORES INDIVIDUAL NO RETORNABLE,SIDRAL MUNDET,LATA 235 ML,235,NO RETORNABLE,235 ML,INDIVIDUAL,DURAZNO MANZANA,LATA,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,SIDRAL MUNDET,DURAZNO MANZANA
14377,MONSTER HAMILTON U 473 ML NR LAT 4 REFO,4,MONSTER ENERGY 355 ML NO RETORNABLE,BEBIDAS ENERGETICAS,MONSTER ENERGY,LATA 16 OZ.,473,NO RETORNABLE,473 ML,INDIVIDUAL,HAMILTON UVA,LATA,0,BEBIDAS ENERGETICAS,CATEGORIAS EN EXPANSION,BEBIDAS ENERGETICAS,BEBIDAS ENERGETICAS,BEBIDAS EMERGENTES,ENERGÉTICOS,MONSTER,UVA
9558,DEL VALLE RESERVA GRANADA 237 NR PET 6,6,DEL VALLE RESERVA 237 ML NO RETORNABLE,JUGOS Y NECTARES LONCHERA,DEL VALLE RESERVA,237 ML NR PET,237,NO RETORNABLE,237 ML,INDIVIDUAL,GRANADA,PLASTICO,1,JUGOS Y NECTARES,CATEGORIAS EN EXPANSION,JUGOS Y NECTARES,JUGOS Y NECTARES,BEBIDAS EMERGENTES,JUGOS & NÉCTARES,DEL VALLE,GRANADA
5345,FANTA FRE 400ML PBN 1G 6,6,FANTA 400 ML NO RETORNABLE,SABORES INDIVIDUAL NO RETORNABLE,FANTA,400 ML NR,400,NO RETORNABLE,400 ML,INDIVIDUAL,FRESA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,FRESA
2025,JOYA DURAZNO 1.5 LT RET PET 12B,12,JOYA 1.50 L RETORNABLE,SABORES FAMILIAR RETORNABLE,JOYA,1.5 LTS. RET,1500,RETORNABLE,1.5 LTS.,FAMILIAR,DURAZNO,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,JOYA,DURAZNO
9206,DVALLE N DUR 250 TBK4,4,DEL VALLE 250 ML NO RETORNABLE,JUGOS Y NECTARES LONCHERA,DEL VALLE,250 ML TETRA,250,NO RETORNABLE,250 ML,INDIVIDUAL,DURAZNO,TETRA PACK,1,JUGOS Y NECTARES,CATEGORIAS EN EXPANSION,JUGOS Y NECTARES,JUGOS Y NECTARES,BEBIDAS EMERGENTES,JUGOS & NÉCTARES,DEL VALLE,DURAZNO
3561,JOYA PONCHE 1.50 L NR PET 8,8,JOYA 1.50 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,JOYA,1.5 LTS. NR,1500,NO RETORNABLE,1.5 LTS.,FAMILIAR,PONCHE,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,JOYA,PONCHE
2249,JOYA MANZANA 1.5 LTS NR 8B,8,JOYA 1.50 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,JOYA,1.5 LTS. NR,1500,NO RETORNABLE,1.5 LTS.,FAMILIAR,MANZANA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,JOYA,MANZANA
458,FANTA UVA 600 ML NR 12B,12,FANTA 600 ML NO RETORNABLE,SABORES INDIVIDUAL NO RETORNABLE,FANTA,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,UVA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,UVA
4294,ADES FRUTAL MANGO 946ML TPK 12,12,ADES FRUTAL 946 ML NO RETORNABLE,BEBIDAS DE SOYA,ADES FRUTAL,946 ML TETRA,946,NO RETORNABLE,946 ML,FAMILIAR,MANGO,TETRA PACK,1,BEBIDAS DE SOYA,CATEGORIAS EN EXPANSION,BEBIDAS DE SOYA,BEBIDAS DE SOYA,BEBIDAS EMERGENTES,BEBIDAS DE SEMILLAS,ADES,MANGO
14124,FANTA NAR 1.5 LT RET PET 12B ETIQ,12,FANTA 1.50 L RETORNABLE,SABORES FAMILIAR RETORNABLE,FANTA,1.5 LTS. RET,1500,RETORNABLE,1.5 LTS.,FAMILIAR,NARANJA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,NARANJA
2027,FANTA NAR 1.5 LT RET PET 12B,12,FANTA 1.50 L RETORNABLE,SABORES FAMILIAR RETORNABLE,FANTA,1.5 LTS. RET,1500,RETORNABLE,1.5 LTS.,FAMILIAR,NARANJA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,NARANJA
9344,VALLE FRUT CITRUS 1LT PNR 6B,6,VALLE FRUT 1.00 L NO RETORNABLE,NARANJADAS INDIVIDUAL,VALLE FRUT,1 LTRO. N.R.,1000,NO RETORNABLE,1 LITRO,INDIVIDUAL,CITRUS,PLASTICO,1,NARANJADAS,CATEGORIAS EN EXPANSION,BEBIDAS DE FRUTA,BEBIDAS DE FRUTA,BEBIDAS EMERGENTES,BEBIDAS DE FRUTA,VALLE FRUT,CITRUS
14365,SIDRAL MUN MZA-DZO 2.00 L NR PET 8B,8,SIDRAL MUNDET 2.00 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,SIDRAL MUNDET,2 LTS. NR,2000,NO RETORNABLE,2 LTS.,FAMILIAR,DURAZNO MANZANA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,SIDRAL MUNDET,DURAZNO MANZANA
588,TOPO CHICO SANGRIA LIGHT 600 ML NR 12B,12,TOPO CHICO SANGRIA 600 ML NO RETORNABLE,SABORES INDIVIDUAL NO RETORNABLE,TOPO CHICO SANGRIA LIGHT,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,SANGRIA,PLASTICO,0,SABORES LIGHT,REFRESCOS,SABORES,SABORES LIGHT,REFRESCOS,SABORES,TOPO CHICO,SANGRÍA
14030,ISOLITE TORONJA 500 ML NR PET 6,6,ISOLITE 500 ML NO RETORNABLE,BEBIDA CON ELECTROLITOS,ISOLITE,500 ML NR PET,500,NO RETORNABLE,500 ML,INDIVIDUAL,TORONJA,PLASTICO,1,BEBIDA CON ELECTROLITOS,CATEGORIAS EN EXPANSION,BEBIDA CON ELECTROLITOS,BEBIDA CON ELECTROLITOS,BEBIDAS EMERGENTES,BEBIDAS CON ELECTROLITOS,ISOLITE,TORONJA
14477,MIX 946ML NR TPK 3 (ADESF1MZA1MGO1GUANA),3,ADES FRUTAL 946 ML NO RETORNABLE,BEBIDAS DE SOYA,ADES FRUTAL,946 ML TETRA,946,NO RETORNABLE,946 ML,FAMILIAR,SURTIDA,TETRA PACK,1,BEBIDAS DE SOYA,CATEGORIAS EN EXPANSION,BEBIDAS DE SOYA,BEBIDAS DE SOYA,BEBIDAS EMERGENTES,BEBIDAS DE SEMILLAS,ADES,MIXTO
4291,PWDE ZERO MORAS 600ML NR 6B,6,POWERADE ZERO 600 ML NO RETORNABLE,ISOTONICOS,POWERADE ZERO,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,MORAS,PLASTICO,1,ISOTONICOS,CATEGORIAS EN EXPANSION,ISOTONICOS,ISOTONICOS LIGHT,BEBIDAS EMERGENTES,ISOTÓNICOS,POWERADE,MORAS
4396,SCLARA HCAJETA 200 ML TPK 3,3,SANTA CLARA SABORIZADA 200 ML NO RETORNABLE,LECHE UHT SABORIZADA,SANTA CLARA SABORIZADA,200 ML TETRA,200,NO RETORNABLE,200 ML,INDIVIDUAL,CAJETA,TETRA PACK,1,LECHE UHT SABORIZADA,LACTEOS,LECHE,LECHE UHT SABORIZADA,LÁCTEOS,LECHE SABORIZADA,SANTA CLARA,CAJETA
9867,COCA-COLA SIN AZUCAR 1.50 LT NR PET 8B,8,COCA-COLA SIN AZUCAR 1.50 L NO RETORNABLE,COLAS LIGHT FAMILIAR,COCA-COLA SIN AZUCAR,1.5 LTS. NR,1500,NO RETORNABLE,1.5 LTS.,FAMILIAR,COLA,PLASTICO,0,COLAS LIGHT,REFRESCOS,COLAS,COLAS LIGHT,REFRESCOS,COLAS NEGRAS,COCA-COLA,COLA
78,JOYA FRESA 250 ML NR 12B,12,JOYA 250 ML NO RETORNABLE,SABORES INDIVIDUAL NO RETORNABLE,JOYA,250 ML. NR PET,250,NO RETORNABLE,250 ML,INDIVIDUAL,FRESA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,JOYA,FRESA
14556,COSTA DESCA TO MOL 80G NR BOL 1,1,COSTA DESCAFEINADO 80 G NO RETORNABLE,NOT_SUGGESTED,COSTA DESCAFEINADO,BOLSA 80 GR.,0,NO RETORNABLE,80 GR,FAMILIAR,DESCAFEINADO TUESTE OSCURO,BOLSA,1,CAFE MOLIDO,CATEGORIAS EN EXPANSION,CAFE,CAFE,BEBIDAS EMERGENTES,BEBIDAS NO PREPARADAS,COSTA,DESCAFEINADO
14532,COSTA DESCA TO MOL 500 G NR BOL 1,1,COSTA DESCAFEINADO 500 G NO RETORNABLE,NOT_SUGGESTED,COSTA DESCAFEINADO,BOLSA 500 GR.,0,NO RETORNABLE,BOLSA 500,FAMILIAR,DESCAFEINADO TUESTE OSCURO,BOLSA,1,CAFE MOLIDO,CATEGORIAS EN EXPANSION,CAFE,CAFE,BEBIDAS EMERGENTES,BEBIDAS NO PREPARADAS,COSTA,DESCAFEINADO
321,COCA-COLA LATA 16OZ 24B,24,COCA-COLA 473 ML NO RETORNABLE,COLAS REGULAR INDIVIDUAL NO RETORNABLE,COCA-COLA,LATA 16 OZ.,473,NO RETORNABLE,473 ML,INDIVIDUAL,COLA,LATA,0,COLAS REGULAR,REFRESCOS,COLAS,COLAS REGULAR,REFRESCOS,COLAS NEGRAS,COCA-COLA,COLA
4725,COCA COLA LIGHT 355ML NR LATA 12 MPK,12,COCA-COLA LIGHT 355 ML NO RETORNABLE,COLAS LIGHT INDIVIDUAL,COCA-COLA LIGHT,LATA,355,NO RETORNABLE,LATA,INDIVIDUAL,COLA,LATA,0,COLAS LIGHT,REFRESCOS,COLAS,COLAS LIGHT,REFRESCOS,COLAS NEGRAS,COCA-COLA,COLA
375,SPRITE 2.5 LTS NR 8B,8,SPRITE 2.50 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,SPRITE,2.5 LTS. NR,2500,NO RETORNABLE,2.5 LTS.,FAMILIAR,LIMA LIMON,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,SPRITE,LIMA LIMÓN
1331,POWERADE FRUTAS 1 LTO NR 6B,6,POWERADE 1.00 L NO RETORNABLE,ISOTONICOS,POWERADE,1 LTRO. N.R.,1000,NO RETORNABLE,1 LITRO,INDIVIDUAL,FRUTAS,PLASTICO,1,ISOTONICOS,CATEGORIAS EN EXPANSION,ISOTONICOS,ISOTONICOS REGULAR,BEBIDAS EMERGENTES,ISOTÓNICOS,POWERADE,FRUTAS
108,JOYA MANZANA 500 ML RET 24B,24,JOYA 500 ML RETORNABLE,SABORES INDIVIDUAL RETORNABLE,JOYA,500 ML RET,500,RETORNABLE,500 ML,INDIVIDUAL,MANZANA,VIDRIO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,JOYA,MANZANA
193,COCA-COLA 1 LTO RET VID 12B TAPA,12,COCA-COLA 1.00 L RETORNABLE,COLAS REGULAR FAMILIAR RETORNABLE,COCA-COLA,1 LTRO RET.,1000,RETORNABLE,1 LITRO,FAMILIAR,COLA,VIDRIO,0,COLAS REGULAR,REFRESCOS,COLAS,COLAS REGULAR,REFRESCOS,COLAS NEGRAS,COCA-COLA,COLA
34,"MX 12 OZ RET VID 24B (12TCHAM,12TCHS)",24,TOPO CHICO 355 ML RETORNABLE,SABORES INDIVIDUAL RETORNABLE,TOPO CHICO,12 OZ. RET,355,RETORNABLE,12 OZ.,INDIVIDUAL,SURTIDA,VIDRIO,0,MIXTOS,REFRESCOS,MIXTOS,MIXTOS,AGUA,AGUA MINERAL,TOPO CHICO,MIXTO
101,SPRITE 500 ML RET VID 24B,24,SPRITE 500 ML RETORNABLE,SABORES INDIVIDUAL RETORNABLE,SPRITE,500 ML RET,500,RETORNABLE,500 ML,INDIVIDUAL,LIMA LIMON,VIDRIO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,SPRITE,LIMA LIMÓN
14044,MONSTER ENERGY MANGO LOCO 473ML NR LAT 4,4,MONSTER ENERGY 355 ML NO RETORNABLE,BEBIDAS ENERGETICAS,MONSTER ENERGY,LATA 16 OZ.,473,NO RETORNABLE,473 ML,INDIVIDUAL,MANGO LOCO,LATA,1,BEBIDAS ENERGETICAS,CATEGORIAS EN EXPANSION,BEBIDAS ENERGETICAS,BEBIDAS ENERGETICAS,BEBIDAS EMERGENTES,ENERGÉTICOS,MONSTER,MANGO
1165,JOYA UVA 1.5 LTS NR 8B,8,JOYA 1.50 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,JOYA,1.5 LTS. NR,1500,NO RETORNABLE,1.5 LTS.,FAMILIAR,UVA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,JOYA,UVA
14501,T CH TWIST LIMON 1.5 L NR PET 6B,6,TOPO CHICO TWIST 1.50 L NO RETORNABLE,AGUA MINERAL CON SABOR,TOPO CHICO TWIST,1.5 LTS NR PET,1500,NO RETORNABLE,1.5 LTS.,FAMILIAR,LIMON,PLASTICO,0,AGUA MINERAL,AGUA MINERAL CON SABOR,AGUA MINERAL CON SABOR,AGUA MINERAL CON SABOR,REFRESCOS,MINERAL SABORIZADA,TOPO CHICO,LIMÓN
115,JOYA DURAZNO 500 ML RET VID 24B,24,JOYA 500 ML RETORNABLE,SABORES INDIVIDUAL RETORNABLE,JOYA,500 ML RET,500,RETORNABLE,500 ML,INDIVIDUAL,DURAZNO,VIDRIO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,JOYA,DURAZNO
4992,DEL VALLE Y NADA LIMON PEPI 600ML NR 6B,6,DEL VALLE Y NADA 600 ML NO RETORNABLE,ADAS INDIVIDUAL,DEL VALLE Y NADA,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,LIMÓN PEPINO,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,MINERAL SABORIZADA,& NADA,LIMÓN PEPINO
14101,FANTA UVA 355ML LATA SLEEK 8,8,FANTA 355 ML NO RETORNABLE,SABORES INDIVIDUAL NO RETORNABLE,FANTA,LATA,355,NO RETORNABLE,LATA,INDIVIDUAL,UVA,LATA SLEEK,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,UVA
14525,PRED ENER GREEN LL  355 ML NR LAT 6,6,PREDATOR ENERGY 355 ML NO RETORNABLE,BEBIDAS ENERGETICAS,PREDATOR ENERGY,355 ML NR LATA,355,NO RETORNABLE,355 ML,INDIVIDUAL,LIMA LIMON,LATA,0,BEBIDAS ENERGETICAS,CATEGORIAS EN EXPANSION,BEBIDAS ENERGETICAS,BEBIDAS ENERGETICAS,BEBIDAS EMERGENTES,ENERGÉTICOS,PREDATOR,CÍTRICOS
2007,POWERADE MORAS 500 ML NR 6B,6,POWERADE 600 ML NO RETORNABLE,ISOTONICOS,POWERADE,500 ML NR PET,500,NO RETORNABLE,500 ML,INDIVIDUAL,MORAS,PLASTICO,1,ISOTONICOS,CATEGORIAS EN EXPANSION,ISOTONICOS,ISOTONICOS REGULAR,BEBIDAS EMERGENTES,ISOTÓNICOS,POWERADE,MORAS
14558,COSTA MO ITA TM MO 85G NR BOL 1,1,COSTA 85 G NO RETORNABLE,NOT_SUGGESTED,COSTA,BOLSA 85 GR.,0,NO RETORNABLE,85 GR,FAMILIAR,MOCHA ITALIA,BOLSA,1,CAFE MOLIDO,CATEGORIAS EN EXPANSION,CAFE,CAFE,BEBIDAS EMERGENTES,BEBIDAS NO PREPARADAS,COSTA,MOCHA ITALIA BLEND
2484,JOYA DURAZNO 2.5 LITROS RET 8B,8,JOYA 2.50 L RETORNABLE,SABORES FAMILIAR RETORNABLE,JOYA,2.5 LTS. RET PET,2500,RETORNABLE,2.5 LTS.,FAMILIAR,DURAZNO,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,JOYA,DURAZNO
14554,T CH TWIST TORONJA 1.5 L NR PET 2,2,TOPO CHICO TWIST 1.50 L NO RETORNABLE,AGUA MINERAL CON SABOR,TOPO CHICO TWIST,1.5 LTS NR PET,1500,NO RETORNABLE,1.5 LTS.,FAMILIAR,TORONJA,PLASTICO,0,AGUA MINERAL,AGUA MINERAL CON SABOR,AGUA MINERAL CON SABOR,AGUA MINERAL CON SABOR,REFRESCOS,MINERAL SABORIZADA,TOPO CHICO,TORONJA
9293,FLORIDA 7 MANZANA 200ML TETRA 40B,40,FLORIDA 7 200 ML NO RETORNABLE,JUGOS Y NECTARES LONCHERA,FLORIDA 7,200 ML TETRA,200,NO RETORNABLE,200 ML,INDIVIDUAL,MANZANA,TETRA PACK,1,JUGOS Y NECTARES,CATEGORIAS EN EXPANSION,JUGOS Y NECTARES,JUGOS Y NECTARES,BEBIDAS EMERGENTES,JUGOS & NÉCTARES,FLORIDA 7,MANZANA
14160,MONSTER ENERGY ORIGINAL 473ML LATA 4B RE,4,MONSTER ENERGY 355 ML NO RETORNABLE,BEBIDAS ENERGETICAS,MONSTER ENERGY,LATA 16 OZ.,473,NO RETORNABLE,473 ML,INDIVIDUAL,ENERGY,LATA,1,BEBIDAS ENERGETICAS,CATEGORIAS EN EXPANSION,BEBIDAS ENERGETICAS,BEBIDAS ENERGETICAS,BEBIDAS EMERGENTES,ENERGÉTICOS,MONSTER,TAURINA + GINSENG
9207,DVALLE N MGO 250 TBK4,4,DEL VALLE 250 ML NO RETORNABLE,JUGOS Y NECTARES LONCHERA,DEL VALLE,250 ML TETRA,250,NO RETORNABLE,250 ML,INDIVIDUAL,MANGO,TETRA PACK,1,JUGOS Y NECTARES,CATEGORIAS EN EXPANSION,JUGOS Y NECTARES,JUGOS Y NECTARES,BEBIDAS EMERGENTES,JUGOS & NÉCTARES,DEL VALLE,MANGO
3685,CIEL EXP PEPIPN 600ML NR PET 6,6,CIEL EXPRIM 600 ML NO RETORNABLE,AGUA SABORIZADA,CIEL EXPRIM,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,PEPINO PIÑA,PLASTICO,1,AGUA SABORIZADA,AGUA,AGUA SABORIZADA,AGUA SABORIZADA,AGUA,AGUA SABORIZADA,CIEL,PEPINO PIÑA
14367,DV 100% JU MANZANA 200 ML NR TPK 4,4,DEL VALLE 200 ML NO RETORNABLE,JUGOS Y NECTARES LONCHERA,DEL VALLE 100% JUGO,200 ML TETRA,200,NO RETORNABLE,200 ML,INDIVIDUAL,MANZANA,TETRA PACK,1,JUGOS Y NECTARES,CATEGORIAS EN EXPANSION,JUGOS Y NECTARES,JUGOS Y NECTARES,BEBIDAS EMERGENTES,JUGOS & NÉCTARES,DEL VALLE,NARANJA
4208,DEL VALLE NC MANZ 946 ML NR TPK 12,12,DEL VALLE 946 ML NO RETORNABLE,JUGOS Y NECTARES HOGAR,DEL VALLE,946 ML TETRA,946,NO RETORNABLE,946 ML,FAMILIAR,MANZANA,TETRA PACK,1,JUGOS Y NECTARES,CATEGORIAS EN EXPANSION,JUGOS Y NECTARES,JUGOS Y NECTARES,BEBIDAS EMERGENTES,JUGOS & NÉCTARES,DEL VALLE,MANZANA
210,COCA-COLA 2 LTS RET 8B,8,COCA-COLA 2.00 L RETORNABLE,COLAS REGULAR FAMILIAR RETORNABLE,COCA-COLA,2 LTS. RET,2000,RETORNABLE,2 LTS.,FAMILIAR,COLA,PLASTICO,0,COLAS REGULAR,REFRESCOS,COLAS,COLAS REGULAR,REFRESCOS,COLAS NEGRAS,COCA-COLA,COLA
762,JOYA DURAZNO 600 ML NR 12B,12,JOYA 600 ML NO RETORNABLE,SABORES INDIVIDUAL NO RETORNABLE,JOYA,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,DURAZNO,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,JOYA,DURAZNO
14302,MIX 2.50 L PNR 8(4JMZA4JMZA-DZO),8,JOYA 2.50 L NO RETORNABLE,SABORES FAMILIAR NO RETORNABLE,JOYA,2.5 LTS. NR,2500,NO RETORNABLE,2.5 LTS.,FAMILIAR,SURTIDA,PLASTICO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,JOYA,MIXTO
497,POWERADE MORAS 400 ML NR 6B,6,POWERADE 400 ML NO RETORNABLE,ISOTONICOS,POWERADE,400 ML NR,400,NO RETORNABLE,400 ML,INDIVIDUAL,MORAS,PLASTICO,1,ISOTONICOS,CATEGORIAS EN EXPANSION,ISOTONICOS,ISOTONICOS REGULAR,BEBIDAS EMERGENTES,ISOTÓNICOS,POWERADE,MORAS
14419,ADES FRUTAL MANGO 946ML NR TPK 3,3,ADES FRUTAL 946 ML NO RETORNABLE,BEBIDAS DE SOYA,ADES FRUTAL,946 ML TETRA,946,NO RETORNABLE,946 ML,FAMILIAR,MANGO,TETRA PACK,1,BEBIDAS DE SOYA,CATEGORIAS EN EXPANSION,BEBIDAS DE SOYA,BEBIDAS DE SOYA,BEBIDAS EMERGENTES,BEBIDAS DE SEMILLAS,ADES,MANGO
